"","lrscale","trstep","trstun","stfdem","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","atcherp","rlgdgr","ipeqopt","ipudrst","ipstrgv","impenv","imptrad","gndr","prtclcgb","agea"
"1",3,4,5,5,5,2,1,4,2,3,1,2,2,4,4,4,4,5,1,1,1,1,1,1,2,90
"2",3,3,4,3,4,4,1,5,1,3,3,4,2,1,2,3,3,3,1,1,1,1,1,2,NA,61
"3",2,1,2,3,2,2,2,5,2,3,3,3,2,3,3,3,3,4,1,1,1,1,1,2,1,62
"4",4,3,4,3,3,3,2,4,2,3,2,2,2,4,4,4,4,1,1,2,2,1,2,2,NA,52
"5",3,3,3,4,3,3,2,4,3,3,3,3,4,3,4,4,4,4,1,1,1,1,1,2,9,66
"6",NA,3,5,3,5,2,2,4,3,3,2,4,2,3,3,2,1,3,1,1,1,1,3,1,NA,68
"7",4,1,3,3,3,3,2,4,4,2,2,2,2,4,4,3,3,3,1,1,2,2,2,1,9,63
"8",4,1,4,4,3,2,3,3,4,1,3,3,3,3,2,2,2,2,2,2,1,2,2,1,1,70
"9",4,2,2,2,3,4,1,5,1,3,2,2,2,4,3,3,1,1,2,2,2,2,3,1,1,31
"10",4,3,3,3,3,1,1,5,1,3,3,4,4,3,3,3,3,3,2,1,2,1,3,1,NA,62
"11",1,2,2,3,4,3,1,5,1,4,2,2,2,3,3,3,3,4,1,1,1,1,1,2,2,23
"12",3,3,4,3,3,1,1,5,3,5,1,1,1,5,5,3,3,3,1,1,1,1,2,2,NA,33
"13",2,3,4,3,3,1,1,5,1,3,1,1,1,5,5,5,5,3,1,1,2,1,2,2,2,74
"14",3,3,3,3,5,2,2,5,2,3,2,2,3,3,4,3,3,3,1,1,1,2,1,2,2,48
"15",3,2,3,3,1,3,2,4,3,4,2,2,2,3,4,3,1,1,1,1,2,2,2,1,NA,26
"16",3,2,2,2,3,1,2,5,4,NA,2,4,4,1,1,1,3,1,1,1,2,2,2,2,NA,31
"17",3,3,2,3,4,3,1,5,1,2,2,2,2,3,3,3,3,2,1,1,2,1,1,2,NA,36
"18",2,3,3,4,4,3,1,5,1,3,1,1,1,3,4,4,4,2,1,1,2,1,2,2,NA,21
"19",2,2,NA,4,3,3,1,5,1,NA,1,1,1,3,4,4,3,1,1,2,2,2,3,2,2,22
"20",2,1,3,2,3,3,1,5,2,1,3,3,3,5,4,3,2,1,1,2,1,2,3,1,1,23
"21",3,1,1,3,3,5,1,5,1,NA,1,1,1,3,4,3,2,1,1,1,1,1,1,2,NA,38
"22",3,3,3,3,4,2,2,4,2,3,2,2,2,3,3,3,3,3,1,2,2,2,2,2,NA,65
"23",3,NA,3,4,4,4,1,5,2,NA,1,1,1,4,4,3,2,1,1,1,1,1,3,1,1,36
"24",3,3,3,4,3,2,1,5,5,3,2,2,3,3,3,3,3,3,1,1,1,1,2,1,NA,67
"25",NA,4,4,4,4,2,1,5,1,4,2,2,2,4,4,4,4,1,1,1,2,1,3,2,NA,43
"26",3,2,4,3,3,2,2,5,2,3,3,3,3,4,4,5,3,2,2,1,1,1,2,1,1,58
"27",3,3,3,4,4,1,1,5,1,3,2,2,2,5,4,4,5,1,1,2,1,1,3,2,3,54
"28",4,4,3,4,3,2,1,5,1,2,1,1,1,4,4,4,3,4,1,1,1,1,1,2,1,49
"29",NA,1,1,1,2,2,1,5,2,1,2,2,2,2,4,3,1,1,1,1,3,1,2,1,NA,38
"30",4,1,4,4,5,1,2,4,3,1,3,3,3,3,3,4,1,1,1,1,1,1,3,1,4,61
"31",NA,NA,NA,3,4,3,1,4,2,2,1,1,1,4,4,4,4,1,1,1,1,1,3,1,NA,56
"32",3,3,3,3,3,1,2,4,2,3,2,3,2,4,4,4,3,5,1,2,1,2,2,1,NA,39
"33",3,3,3,3,4,3,1,5,1,3,3,3,3,4,4,3,2,1,2,1,2,2,2,2,NA,34
"34",NA,1,NA,1,2,1,1,5,1,1,2,2,2,3,3,2,1,2,1,2,1,1,2,2,6,71
"35",3,3,3,3,2,1,2,4,2,3,2,2,2,3,3,3,3,3,1,1,1,2,1,2,NA,56
"36",2,4,5,4,5,3,1,4,2,4,2,2,2,4,4,4,5,4,1,1,1,1,1,1,2,25
"37",4,3,3,4,3,3,1,5,1,3,2,2,2,5,5,3,3,4,1,1,1,2,1,2,2,35
"38",2,1,2,2,3,1,2,2,5,NA,2,4,4,2,2,2,1,1,1,2,1,2,3,1,2,35
"39",5,1,3,1,2,1,2,4,2,1,4,4,4,1,1,1,1,3,1,2,1,1,3,2,7,54
"40",NA,1,5,1,5,3,2,3,4,1,3,3,2,3,1,1,2,2,2,2,2,1,1,2,7,71
"41",NA,3,NA,NA,3,NA,2,4,2,NA,2,3,3,3,3,3,1,3,1,1,1,1,1,2,2,77
"42",2,2,3,2,3,3,1,5,1,4,2,2,2,4,4,4,3,3,1,1,1,1,1,2,6,48
"43",4,2,3,3,4,2,2,4,3,4,1,1,1,4,4,4,3,2,1,1,1,2,2,2,NA,53
"44",3,3,5,3,5,4,1,5,1,3,2,2,3,3,2,3,4,3,1,1,1,1,2,1,NA,19
"45",3,3,3,3,3,5,1,5,1,2,2,2,2,5,5,5,3,2,2,2,2,2,2,2,1,45
"46",2,3,4,3,3,2,1,5,2,3,2,2,2,4,3,3,4,1,1,1,1,2,3,1,NA,42
"47",2,3,4,3,4,2,1,5,1,3,1,1,1,5,5,4,5,1,1,1,2,1,2,1,2,55
"48",3,3,4,4,3,2,2,4,3,3,2,2,2,4,4,3,4,4,2,2,1,1,1,2,1,81
"49",4,2,3,4,3,3,3,3,4,2,2,2,2,3,3,4,3,3,1,2,1,2,2,1,1,78
"50",3,1,3,1,3,1,1,5,1,1,3,3,3,2,5,3,1,4,1,1,3,3,3,2,NA,50
"51",NA,2,3,2,2,2,2,5,4,2,4,4,4,2,2,2,2,2,1,1,1,2,1,2,NA,42
"52",2,3,NA,1,1,1,2,4,2,2,2,2,2,4,4,3,2,1,1,2,2,1,2,1,NA,52
"53",3,1,2,3,5,2,3,4,2,3,3,3,3,3,3,3,4,4,1,1,1,1,2,2,NA,68
"54",3,1,2,2,3,1,2,5,1,3,1,2,2,3,2,3,4,2,1,1,1,1,2,2,NA,52
"55",2,2,3,4,5,2,2,5,2,4,1,1,1,5,5,5,3,1,1,2,2,1,2,1,6,71
"56",4,2,NA,3,3,3,2,4,2,3,2,2,3,4,4,3,2,3,1,1,2,1,3,2,1,51
"57",3,4,5,3,1,4,2,4,2,4,3,2,4,2,1,1,3,2,1,1,1,1,1,1,NA,58
"58",3,1,3,3,5,2,4,4,5,2,2,3,3,3,2,1,1,5,1,2,1,1,2,1,1,64
"59",3,2,NA,NA,3,2,3,1,5,2,3,4,4,2,2,2,3,3,2,3,3,2,1,1,1,63
"60",3,1,3,3,4,2,2,5,2,3,2,3,3,3,4,3,3,1,1,1,1,2,3,1,NA,39
"61",3,3,2,3,3,2,1,5,2,3,2,3,4,2,3,3,3,2,1,2,3,3,3,2,NA,43
"62",3,1,1,2,3,2,1,5,2,3,2,4,2,3,3,3,3,1,1,2,1,1,1,2,NA,44
"63",2,1,3,1,1,1,2,4,4,1,3,3,4,1,1,1,1,1,1,2,1,1,1,1,NA,69
"64",3,NA,3,3,4,1,1,5,1,3,1,1,1,3,4,3,4,3,1,1,1,1,1,2,NA,48
"65",3,3,3,4,5,2,1,5,1,3,2,2,2,3,3,3,3,4,1,2,1,1,1,2,4,74
"66",3,2,4,3,4,2,4,1,5,3,2,2,2,3,3,4,5,3,1,1,1,1,1,1,NA,33
"67",3,3,4,4,3,3,2,4,5,2,2,3,2,4,4,4,3,4,1,1,1,1,2,2,1,66
"68",4,3,4,4,4,3,2,4,4,1,2,3,3,3,2,2,3,4,2,1,2,1,1,1,1,71
"69",3,1,2,3,2,3,3,5,3,1,2,2,2,4,4,4,1,5,1,1,2,2,1,2,1,44
"70",3,3,4,3,3,2,2,4,3,4,2,2,2,4,4,4,4,2,2,1,1,1,1,1,2,60
"71",3,2,3,4,3,1,1,4,1,2,3,4,4,3,3,5,2,3,1,1,1,1,2,1,NA,34
"72",2,3,3,2,2,2,1,5,1,3,1,1,1,5,3,4,4,1,1,1,1,1,2,1,2,30
"73",3,3,3,3,3,2,2,4,3,1,NA,NA,4,5,3,3,4,1,NA,1,NA,1,3,1,6,69
"74",4,4,5,3,5,3,3,3,3,3,2,2,3,5,4,5,3,2,2,2,2,1,1,1,1,73
"75",1,3,3,4,3,3,2,4,2,2,2,2,3,4,3,5,2,5,1,1,1,1,1,2,NA,30
"76",3,4,4,3,3,2,2,3,1,4,2,2,2,3,5,4,3,3,1,1,1,1,1,1,2,17
"77",3,2,2,2,3,2,1,5,1,2,3,3,3,3,3,3,1,1,1,1,1,1,1,2,NA,54
"78",NA,2,3,2,3,1,1,5,2,3,2,2,2,3,3,3,3,2,1,1,2,1,3,2,NA,56
"79",3,1,1,3,2,4,2,4,2,1,2,2,2,4,4,4,1,1,1,1,1,2,1,2,1,72
"80",2,3,4,2,2,2,2,3,4,3,2,3,3,3,3,3,4,1,2,1,1,1,1,1,3,71
"81",NA,5,NA,NA,4,1,1,5,1,NA,1,NA,NA,3,3,4,1,2,1,1,1,1,2,1,NA,19
"82",3,4,4,4,3,2,1,5,1,3,2,2,2,3,4,3,4,2,1,2,1,1,1,2,2,49
"83",3,3,3,4,4,2,2,5,2,4,2,2,2,4,3,3,3,2,1,1,1,1,3,1,NA,29
"84",3,1,1,3,4,3,2,4,2,3,3,4,4,3,2,1,2,3,1,2,1,1,1,2,NA,71
"85",3,5,4,3,5,1,3,3,5,3,2,2,2,4,4,3,4,4,1,1,1,1,1,1,NA,36
"86",5,1,4,4,3,2,2,4,2,4,2,2,2,3,3,3,4,4,1,1,1,1,1,1,1,82
"87",4,1,4,5,3,4,1,5,4,1,2,2,2,2,1,2,1,2,3,2,2,2,1,2,1,60
"88",NA,3,3,2,3,1,2,4,2,NA,4,4,4,1,1,1,1,1,2,3,2,2,3,1,NA,41
"89",3,4,3,3,3,2,2,4,2,3,1,1,1,3,4,4,3,1,1,1,1,1,3,2,NA,27
"90",3,NA,NA,1,1,1,1,5,1,NA,NA,NA,NA,2,NA,3,1,1,1,1,2,1,2,1,2,48
"91",3,1,3,3,2,2,2,4,3,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,48
"92",3,3,4,4,3,2,2,4,2,3,1,2,3,4,4,4,4,3,1,2,2,1,1,1,1,61
