"id","cv","psup","psup_short","pltsup","pltsup_short","pmem","female","agecat","edu","edu4","job","pref","hdist","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","policy24","policy25","policy38","policy39","policy41"
1,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,1,2,2,1,5,1,3,3,1,4,3,2,3,3,2,1,2,2,3,3,3,3,3,3
2,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,1,5,5,1,5,2,3,5,4,5,2,4,2,3,2,1,1,4,5,5,2,2,4,1
3,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,1,1,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,5,3
4,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,4,1,1,1,1,2,2,4,3,1,2,5,3,5,1,3,3,5,1,1,2
5,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,2,2,2,1,3,1,2,4,3,3,2,2,2,2,3,4,3,3,3,4,4,3,3,3
6,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,2,2,5,1,4,3,2,4,3,4,3,3,2,5,3,1,2,3,4,3,3,1,4,3
7,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,1,2,5,5,1,5,2,5,5,5,5,1,1,3,5,5,5,1,2,5,5,1,3,5,3
8,"candidate","Social Democratic Party","SDP",NA,NA,NA,1,NA,NA,NA,NA,1,2,4,5,1,5,4,5,5,5,5,3,2,2,4,5,1,2,2,5,5,1,2,5,3
9,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,1,2,1,1,2,1,1,1,1,3,3,5,4,4,3,5,5,3,1,3,3,3,2,1,3
10,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,3,1,3,1,3,1,2,2,2,5,3,3,NA,NA,NA,5,3,3,3,3,3,3,1,3
11,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,3,2,4,1,4,3,3,5,3,5,2,2,3,4,4,1,1,3,4,4,2,2,4,2
12,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,3,1,1,4,1,1,1,1,2,2,4,3,1,2,5,3,5,1,3,3,5,1,1,2
13,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,4,2,3,3,2,1,2,1,3,4,3,3,1,3,3,2,5,3,4,4,2,2,2,4
14,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,4,5,5,1,5,2,5,3,3,4,2,2,2,3,3,1,1,4,5,4,3,1,4,2
15,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,4,1,1,5,1,1,1,1,1,2,5,4,4,2,5,5,1,1,3,5,3,1,1,5
16,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,5,1,1,2,1,1,2,1,1,4,3,2,1,3,1,4,5,5,2,3,5,3,1,3
17,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,1,5,5,5,1,5,2,5,5,5,5,1,3,2,3,5,1,1,3,5,5,1,1,5,3
18,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,5,1,1,3,1,2,1,1,2,1,3,3,2,3,5,5,2,1,3,4,2,2,1,3
19,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,6,1,1,1,2,2,2,1,1,3,3,1,1,1,3,4,5,3,3,3,3,3,1,2
20,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,6,5,3,1,5,2,2,5,5,5,3,3,2,3,5,1,2,3,5,3,1,1,5,2
21,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,1,6,5,5,1,5,4,5,5,5,5,3,2,3,4,5,5,1,4,5,5,2,1,5,3
22,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,6,1,1,5,1,1,1,1,1,1,4,3,1,5,5,5,2,1,1,5,5,1,2,5
23,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,7,2,2,2,3,1,2,2,3,4,2,2,2,2,3,3,4,2,3,3,5,3,2,2
